"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1",1,1,0.405760218715295,-1,3,1,0,0,1,4380,11
"2",1,2,0.299795786060214,-1,1,-1,1,0,1,1971,12
"3",1,3,0.204922919019879,-1,2,1,0,0,1,2207,13
"4",1,4,0.162867731683473,-1,1,-1,1,0,1,5284,14
"5",1,5,0.101378402574763,-1,3,1,0,0,1,2335,15
"6",1,6,0.159884517920194,1,2,1,1,0,-1,1559,14
"7",1,7,0.127256230072028,-1,3,1,0,0,1,2645,15
"8",1,8,0.146817946019409,-1,2,-1,1,0,1,1627,16
"9",1,9,0.122229743974341,1,1,-1,0,0,-1,5823,15
"10",1,10,0.104369631365903,-1,2,-1,1,1,-1,2181,14
"11",1,11,0.248700530139997,-1,3,-1,1,0,1,1736,15
"12",1,12,0.212754740469557,-1,1,1,0,1,-1,5123,14
"13",1,13,0.269415939083768,-1,3,1,0,0,1,1828,15
"14",1,14,0.349691686722828,-1,1,-1,1,0,1,2615,16
"15",1,15,0.240468696195988,-1,2,-1,1,0,1,2253,17
"16",1,16,0.265720303783281,-1,1,-1,1,0,1,2210,18
"17",1,17,0.283403011015238,1,3,-1,0,0,-1,2807,17
"18",1,18,0.306627626968481,-1,2,-1,1,1,-1,2731,16
"19",1,19,0.319631412595874,1,3,-1,0,1,1,2086,17
"20",1,20,0.332195114702197,-1,2,-1,1,1,-1,1634,16
"21",1,21,0.370661634479456,-1,2,1,0,1,-1,2296,15
"22",1,22,0.398741379754529,1,3,-1,0,1,1,1920,16
"23",1,23,0.504274797813181,1,1,1,1,1,1,1771,17
"24",1,24,0.457031302179874,1,3,-1,0,1,1,1905,18
"25",1,25,0.485268882257933,1,2,-1,0,1,1,1935,19
"26",1,26,0.437305719806022,1,1,1,1,1,1,2231,20
"27",1,27,0.364001571306099,-1,2,-1,1,1,-1,2479,19
"28",1,28,0.440443782210965,-1,1,-1,1,0,1,1981,20
"29",1,29,0.459261281471308,-1,3,-1,1,0,1,2638,21
"30",1,30,0.374210269796694,-1,1,-1,1,0,1,1863,22
"31",1,31,0.427764080804516,1,2,1,1,0,-1,2184,21
"32",1,32,0.474038817999748,-1,3,-1,1,1,-1,2124,20
"33",1,33,0.533317357277045,1,2,-1,0,0,-1,2163,19
"34",1,34,0.536526407589837,1,3,-1,0,1,1,2221,20
"35",1,35,0.534058347841332,-1,1,-1,1,0,1,1875,21
"36",1,36,0.652206379562235,1,3,-1,0,1,1,2059,22
"37",1,37,0.720287094618507,1,2,-1,0,1,1,2564,23
"38",1,38,0.798933897920133,1,1,1,1,1,1,1789,24
"39",1,39,0.793049613066082,-1,2,-1,1,1,-1,2310,23
"40",1,40,0.897550555654432,1,1,1,1,1,1,1767,24
"41",1,41,0.879850010728478,1,1,1,1,1,1,1779,25
"42",1,42,0.880870486124859,1,2,-1,0,1,1,2141,26
"43",1,43,0.895839309198019,1,3,-1,0,1,1,2029,27
"44",1,44,0.848558442167985,1,2,-1,0,0,-1,2477,26
"45",1,45,0.866216274161462,1,1,1,1,1,1,1825,27
"46",1,46,0.761400001222962,1,3,1,1,0,-1,2256,26
"47",1,47,0.681716501460829,-1,1,-1,1,0,1,1863,27
"48",1,48,0.798562390350064,1,3,-1,0,1,1,2210,28
"49",1,49,0.852891923183826,-1,2,-1,1,0,1,2782,29
"50",1,50,0.825161648574242,1,3,-1,0,1,1,2548,30
"51",1,51,0.786410030306798,1,1,-1,0,0,-1,2399,29
"52",1,52,0.78899146610837,1,2,-1,0,1,1,2487,30
"53",1,53,0.673563632836739,-1,1,-1,1,0,1,1820,31
"54",1,54,0.627488866190824,-1,2,1,0,0,1,2231,32
"55",1,55,0.72022554092855,1,3,-1,0,0,-1,2162,31
"56",1,56,0.739541347715589,1,2,-1,0,0,-1,2358,30
"57",1,57,0.739643361476034,1,1,-1,0,0,-1,1932,29
"58",1,58,0.775535795629814,1,3,-1,0,1,1,1923,30
"59",1,59,0.799501388683349,1,1,-1,0,0,-1,1978,29
"60",1,60,0.813968770069252,1,3,1,1,1,1,2225,30
"61",2,1,0.53845125772059,1,1,1,1,1,1,2760,20
"62",2,2,0.444182902284731,1,2,1,1,1,1,2055,21
