"","SubID","trial_num","pUP","stock_outcome","choice","outcome","rt","tally"
"1",1,1,0.493758553266525,-1,0,1,2515,1
"2",1,2,0.52310860795234,-1,0,1,1002,2
"3",1,3,0.563027531476936,1,0,-1,973,1
"4",1,4,0.596121765318087,1,0,-1,659,0
"5",1,5,0.623124270589171,1,0,-1,4490,-1
"6",1,6,0.722037404168852,-1,1,-1,1474,-2
"7",1,7,0.796106584150052,1,0,-1,909,-3
"8",1,8,0.848650253704501,1,1,1,4509,-2
"9",1,9,0.846964145324319,-1,1,-1,1234,-3
"10",1,10,0.861725482974161,NA,NA,NA,NA,NA
"11",1,11,0.859243621537665,1,0,-1,1416,-4
"12",1,12,0.697664951318256,1,0,-1,1026,-5
"13",1,13,0.736955551331583,-1,1,-1,3077,-6
"14",1,14,0.667419381618967,1,0,-1,651,-7
"15",1,15,0.70780483987874,1,1,1,1412,-6
"16",1,16,0.786019011065941,1,1,1,1151,-5
"17",1,17,0.697134479228133,1,1,1,1029,-4
"18",1,18,0.660075191001824,1,1,1,313,-3
"19",1,19,0.53189433355538,1,1,1,448,-2
"20",1,20,0.530446371175815,-1,1,-1,655,-3
"21",1,21,0.487300994508908,1,1,1,2979,-2
"22",1,22,0.449824319956818,-1,1,-1,1574,-3
"23",1,23,0.465844189359286,1,0,-1,1645,-4
"24",1,24,0.387124601495542,-1,1,-1,559,-5
"25",1,25,0.249312320396463,-1,1,-1,563,-6
"26",1,26,0.251390264539417,-1,0,1,489,-5
"27",1,27,0.308981023947932,-1,0,1,569,-4
"28",1,28,0.337152829364142,-1,0,1,947,-3
"29",1,29,0.433250179274677,1,0,-1,968,-4
"30",1,30,0.413381989483701,1,0,-1,926,-5
"31",1,31,0.320597772473285,1,1,1,1666,-4
"32",1,32,0.294417937079353,-1,1,-1,622,-5
"33",1,33,0.387703036010136,1,1,1,687,-4
"34",1,34,0.291649443999266,1,1,1,1806,-3
"35",1,35,0.188973094803275,-1,1,-1,557,-4
"36",1,36,0.147840908226028,-1,0,1,2101,-3
"37",2,1,0.460632581217214,1,1,1,1307,1
"38",2,2,0.501094693193232,-1,1,-1,1232,0
"39",2,3,0.497113166550534,1,0,-1,472,-1
"40",2,4,0.487883935509536,-1,0,1,672,0
"41",2,5,0.486195874255771,-1,0,1,1103,1
"42",2,6,0.413398539509888,-1,0,1,400,2
"43",2,7,0.346782871292478,-1,0,1,495,3
"44",2,8,0.274173627096395,1,0,-1,296,2
"45",2,9,0.328909414491363,-1,1,-1,312,1
"46",2,10,0.420879497171924,-1,0,1,416,2
"47",2,11,0.408543849078259,-1,0,1,289,3
"48",2,12,0.406118721641442,-1,0,1,392,4
"49",2,13,0.352121833773694,-1,0,1,232,5
"50",2,14,0.254678624128085,-1,0,1,296,6
"51",2,15,0.189655956030767,-1,0,1,423,7
"52",2,16,0.170829007380734,-1,0,1,336,8
"53",2,17,0.291843504800742,-1,0,1,288,9
"54",2,18,0.472403283847519,1,0,-1,304,8
"55",2,19,0.42985539326679,1,0,-1,280,7
"56",2,20,0.539325518088073,1,1,1,248,8
"57",2,21,0.536078213010727,1,1,1,328,9
"58",2,22,0.606817615307148,1,1,1,368,10
"59",2,23,0.663332746090291,1,1,1,343,11
"60",2,24,0.581632177993533,1,1,1,432,12
"61",2,25,0.624759044461087,1,1,1,4784,13
"62",2,26,0.606627875951808,1,1,1,352,14
"63",2,27,0.649517731947435,1,1,1,440,15
"64",2,28,0.46528261507658,1,1,1,352,16
"65",2,29,0.468376563876144,-1,1,-1,336,15
"66",2,30,0.488737496673406,-1,0,1,3887,16
"67",2,31,0.586284637625285,NA,NA,NA,NA,NA
"68",2,32,0.601694767895302,1,0,-1,4703,15
"69",2,33,0.750563145222256,1,1,1,320,16
"70",2,34,0.792679240259055,1,1,1,248,17
"71",2,35,0.7831899248789,1,1,1,208,18
"72",2,36,0.726283211452178,-1,1,-1,247,17
"73",3,1,0.571737702516839,-1,0,1,2735,1
"74",3,2,0.665652861848425,NA,NA,NA,NA,NA
"75",3,3,0.590393122244927,1,0,-1,846,0
"76",3,4,0.622283488154842,1,1,1,431,1
"77",3,5,0.767358178726608,-1,1,-1,518,0
"78",3,6,0.819087627542101,1,0,-1,299,-1
"79",3,7,0.7865896772943,1,1,1,478,0
"80",3,8,0.81877520815479,-1,0,1,534,1
"81",3,9,0.87264084330826,1,1,1,299,2
"82",3,10,0.859060999319787,-1,1,-1,555,1
"83",3,11,0.82733158079564,1,1,1,487,2
"84",3,12,0.750121788395374,1,1,1,565,3
"85",3,13,0.683214448606637,-1,0,1,329,4
"86",3,14,0.640511116625584,-1,1,-1,438,3
"87",3,15,0.543950991284574,-1,1,-1,400,2
"88",3,16,0.518483102250723,1,0,-1,299,1
"89",3,17,0.500738035500201,1,1,1,409,2
"90",3,18,0.479690168705253,1,1,1,783,3
"91",3,19,0.410948763392932,-1,0,1,418,4
"92",3,20,0.441784804007479,-1,1,-1,481,3
"93",3,21,0.451908192556202,-1,1,-1,707,2
"94",3,22,0.372416376701035,NA,NA,NA,NA,NA
"95",3,23,0.423095509067797,-1,1,-1,957,1
"96",3,24,0.421948279073424,-1,1,-1,572,0
"97",3,25,0.313707952117939,-1,0,1,735,1
"98",3,26,0.274541431707316,1,0,-1,423,0
"99",3,27,0.254208543749008,-1,1,-1,282,-1
"100",3,28,0.175514977838329,1,1,1,275,0
"101",3,29,0.136779844948308,1,0,-1,628,-1
"102",3,30,0.2140234609724,1,1,1,363,0
"103",3,31,0.128162052390882,-1,0,1,350,1
"104",3,32,0.131252250670306,-1,0,1,504,2
"105",3,33,0.112599782018884,-1,0,1,332,3
"106",3,34,0.13026544225785,-1,1,-1,281,2
"107",3,35,0.131023188869651,-1,1,-1,266,1
"108",3,36,0.109836075856107,-1,0,1,299,2
"109",4,1,0.475014253379777,-1,1,-1,1292,-1
"110",4,2,0.581889068543466,-1,1,-1,2048,-2
