"","SubID","trial_num","pUP","stock_outcome","Advisor","AdvisorCorrect","choice","outcome","rt","tally"
"1",1,1,0.544425779860467,-1,2,1,0,-1,2556,-4
"2",1,2,0.480930291646153,-1,3,0,0,1,3451,-3
"3",1,3,0.383016454907239,-1,1,1,0,-1,2915,-4
"4",1,4,0.335926970683437,NA,3,NA,NA,NA,NA,-4
"5",1,5,0.39112931821651,1,2,0,0,1,1424,-3
"6",1,6,0.175659875639436,1,1,0,0,1,1396,-2
"7",1,7,0.263602470922934,-1,2,1,1,1,2582,-1
"8",1,8,0.383325101631728,-1,1,1,1,1,1471,0
"9",1,9,0.283636326866037,-1,3,0,1,-1,1683,-1
"10",1,10,0.262080672841571,1,1,1,0,-1,1844,-2
"11",1,11,0.358000026578103,-1,2,0,1,-1,957,-3
"12",1,12,0.309733755798443,-1,3,1,1,1,1088,-2
"13",1,13,0.289010708192158,-1,2,0,1,-1,499,-3
"14",1,14,0.457971262373504,-1,3,1,1,1,1097,-2
"15",1,15,0.449340492318165,-1,1,1,0,-1,1765,-3
"16",1,16,0.387412140814274,-1,3,0,0,1,1695,-2
"17",1,17,0.334715821391101,1,2,1,0,-1,913,-3
"18",1,18,0.339607721907744,-1,1,1,1,1,878,-2
"19",1,19,0.275354788257182,-1,2,1,0,-1,1596,-3
"20",1,20,0.34950186112916,-1,1,1,1,1,1306,-2
"21",1,21,0.322912630805687,-1,3,0,0,1,1127,-1
"22",1,22,0.222703594108545,-1,1,1,1,1,1317,0
"23",1,23,0.179386052225975,-1,2,0,1,-1,2343,-1
"24",1,24,0.176386814343796,-1,1,0,1,-1,961,-2
"25",1,25,0.145842402535181,-1,3,1,0,-1,315,-3
"26",1,26,0.19834557680549,1,2,1,0,-1,541,-4
"27",1,27,0.320499832737095,-1,3,0,0,1,559,-3
"28",1,28,0.261888778403019,-1,2,0,0,1,839,-2
"29",1,29,0.41993650771332,-1,1,0,1,-1,1121,-3
