,SubID,trial_num,pUP,stock_outcome,Advisor,AdvisorCorrect,choice,outcome,rt,tally
1,1,1,0.58480064,1,3,0,0,1,3182,17
2,1,2,0.510771746,1,1,1,1,1,2036,18
3,1,3,0.552771416,1,2,1,1,1,2354,19
4,1,4,0.492736881,1,1,1,1,1,1388,20
5,1,5,0.465234498,1,3,0,0,1,1386,21
6,1,6,0.500273344,-1,2,1,1,1,1652,22
7,1,7,0.381700264,-1,3,1,0,-1,1020,21
8,1,8,0.277252612,-1,2,0,1,-1,1102,20
9,1,9,0.300059289,1,1,0,1,-1,823,19
10,1,10,0.255691287,-1,2,1,1,1,1909,20
11,1,11,0.14070003,-1,3,0,0,1,864,21
12,1,12,0.236749371,1,1,0,1,-1,450,20
13,1,13,0.224076552,-1,3,0,0,1,1216,21
14,1,14,0.355431265,-1,1,1,1,1,726,22
15,1,15,0.278556773,1,2,0,1,-1,1318,21
16,1,16,0.25373754,-1,1,1,1,1,1102,22
17,1,17,0.434506222,1,3,0,0,1,1364,23
18,1,18,0.408942181,-1,2,0,1,-1,1146,22
19,1,19,0.315193543,1,3,0,0,1,869,23
20,1,20,0.372725629,-1,2,0,1,-1,1107,22
21,1,21,0.393206156,1,2,1,0,-1,2027,21
22,1,22,0.358076955,-1,3,0,0,1,2056,22
23,1,23,0.561152073,-1,1,1,1,1,853,23
24,1,24,0.452877805,-1,3,1,0,-1,928,22
25,1,25,0.483187619,1,2,1,1,1,897,23
26,1,26,0.543941561,-1,1,0,1,-1,956,22
27,1,27,0.610704938,-1,2,0,1,-1,1236,21
28,1,28,0.620237718,1,1,1,1,1,789,22
29,1,29,0.639049655,1,3,0,0,1,1036,23
30,1,30,0.668670323,1,1,1,1,1,739,24
31,1,31,0.688184323,1,2,0,1,-1,934,23
32,1,32,0.649346261,1,3,1,0,-1,901,22
33,1,33,0.658778693,-1,2,1,1,1,823,23
34,1,34,0.707915566,-1,3,0,0,1,1588,24
35,1,35,0.752756822,1,1,1,1,1,596,25
36,1,36,0.588924083,-1,3,0,0,1,786,26
37,1,37,0.46357214,-1,2,0,1,-1,963,25
38,1,38,0.432556083,-1,1,1,1,1,1187,26
39,1,39,0.350324611,-1,2,1,1,1,983,27
40,1,40,0.408867061,1,1,1,1,1,801,28
41,1,41,0.514777965,1,1,1,1,1,998,29
42,1,42,0.486636151,-1,2,0,1,-1,895,28
43,1,43,0.507656963,1,3,1,0,-1,1231,27
44,1,44,0.519959223,1,2,1,1,1,662,28
45,1,45,0.536044411,1,1,1,1,1,1297,29
46,1,46,0.62779128,1,3,0,0,1,859,30
47,1,47,0.668403836,-1,1,0,1,-1,893,29
48,1,48,0.659245883,1,3,0,0,1,1149,30
49,1,49,0.765985581,1,2,1,1,1,642,31
50,1,50,0.751650964,1,3,0,0,1,1170,32
51,1,51,0.808154914,1,1,0,1,-1,694,31
52,1,52,0.84968193,1,2,0,1,-1,1047,30
53,1,53,0.808273868,-1,1,1,1,1,712,31
54,1,54,0.792993822,1,2,0,1,-1,851,30
55,1,55,0.697662545,1,3,0,0,1,1051,31
56,1,56,0.677156432,1,2,1,1,1,891,32
57,1,57,0.581369484,-1,1,1,1,1,733,33
58,1,58,0.585956554,-1,3,0,0,1,1207,34
59,1,59,0.530491032,1,1,1,1,1,848,35
60,1,60,0.571525018,1,3,1,1,1,1108,36
61,2,1,0.524546198,1,1,1,1,1,1357,1
62,2,2,0.553902954,1,2,0,1,-1,1063,0
63,2,3,0.585051494,-1,3,0,0,1,1016,1
64,2,4,0.687692052,1,2,1,1,1,1761,2
65,2,5,0.748669267,1,1,1,1,1,920,3
66,2,6,0.740485073,1,3,1,0,-1,864,2
67,2,7,0.754365274,1,1,0,1,-1,841,1
68,2,8,0.839072561,1,3,0,0,1,1393,2
69,2,9,0.844673407,1,2,0,1,-1,1097,1
70,2,10,0.741859396,1,3,0,0,1,928,2
71,2,11,0.755774736,1,1,1,1,1,680,3
72,2,12,0.703819255,1,2,0,1,-1,633,2
73,2,13,0.665427732,1,1,1,1,1,1032,3
74,2,14,0.455678717,-1,2,1,0,-1,952,2
75,2,15,0.482892318,-1,3,0,0,1,712,3
76,2,16,0.344733039,1,2,0,0,1,1249,4
77,2,17,0.402519226,-1,1,0,1,-1,576,3
78,2,18,0.291290887,-1,3,1,0,-1,752,2
79,2,19,0.34845297,-1,1,0,1,-1,856,1
80,2,20,0.328320255,-1,3,0,0,1,1280,2
81,2,21,0.382430699,-1,2,0,0,1,1233,3
82,2,22,0.40257454,1,3,0,0,1,1080,4
83,2,23,0.331136409,-1,1,1,1,1,1688,5
84,2,24,0.248488877,-1,3,1,0,-1,4898,4
85,2,25,0.250230173,-1,2,0,0,1,1504,5
86,2,26,0.303556433,-1,1,1,1,1,666,6
87,2,27,0.502278613,-1,2,1,0,-1,1624,5
88,2,28,0.566940396,-1,1,1,1,1,1384,6
89,2,29,0.495399022,-1,3,0,0,1,816,7
90,2,30,0.486088128,-1,1,0,1,-1,928,6
91,2,31,0.48181003,-1,2,0,0,1,969,7
92,2,32,0.503503179,1,3,0,0,1,768,8
93,2,33,0.589619368,1,2,1,1,1,1361,9
94,2,34,0.531790628,1,3,0,0,1,880,10
95,2,35,0.536754632,1,1,1,1,1,585,11
96,2,36,0.395611852,-1,3,0,0,1,841,12
97,2,37,0.547330942,-1,2,0,0,1,624,13
98,2,38,0.591032451,1,1,1,1,1,776,14
99,2,39,0.678940192,1,2,1,0,-1,1190,13
100,2,40,0.532857458,-1,1,1,1,1,787,14
